2021-10-18 10:24:30,78
2021-10-18 10:24:31,78
2021-10-18 10:24:32,78
2021-10-18 10:24:33,78
2021-10-18 10:24:34,78
2021-10-18 10:24:35,78
2021-10-18 10:24:36,78
2021-10-18 10:24:37,78
2021-10-18 10:24:38,78
2021-10-18 10:24:39,78
2021-10-18 10:24:40,78
2021-10-18 10:32:13,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:32:23,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:32:33,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:32:44,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:32:54,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:33:04,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:33:14,Humidity: 39.40%Temperature: 75.02deg F
2021-10-18 10:33:24,Humidity: 39.40%Temperature: 75.02deg F
